1,1,3,5,5,7,10,13,13,11,14,11,16,10,4,7,6,7,14,16,20,16,19,15,21,39,12,15,17,10,33,5,13,12,2,24,12,8,8,27,14,19,12,9,13,14,23,13,11,49,8,19,21,26,14,9,14,9,15,6,3,9,7,18,15,18,15,15,13,5,9,12,16,12,12,4,12,16,21,18,14,34,8,9,13,18,18,17,13,7,17,11,52,8,11,11,11,13,12,12,12,12,19,9,3,29,18,19,13,12,14,14,14,8,11,38,13,40,35,21,9,16,14,6,13,13,5,41,15,8,9,13,24,24,24,24,24,15,13,11,12,20,19,16,13,17,22,19,11,11,12,18,10,27,23,19,22,10,28,10,8,16,14,14,14,14,9,14,14,16,16,16,18,13,19,21,12,42,35,17,14,7,9,13,13,21,27,26,11,16,1,1,2,17,17,48,14,1,42,11,16,18,6,13,1,8,16,2,6,10,12,15,8,15,34,10,11,13,20,19,20,8,13,15,12,12,6,7,15,5,9,12,27,9,13,18,10,11,16,8,18,21,17,18,15,12,20,15,17,10,6,10,14,14,15,23,13,12,12,35,11,13,2,15,7,18,21,11,9,28,7,6,2,14,8,17,11,16,10,7,10,2,13,13,36,39,52,18,
1,1,3,5,7,7,10,13,12,10,12,10,15,8,3,8,5,5,12,14,18,14,18,13,19,40,12,16,19,11,35,6,12,11,3,23,11,9,8,29,12,17,10,7,11,12,24,11,9,50,8,18,19,25,12,9,12,7,15,7,3,7,6,16,13,17,13,14,11,4,7,11,15,11,10,3,11,15,19,17,12,36,6,10,11,16,16,16,11,6,17,9,54,7,12,12,12,14,11,10,10,10,19,8,2,28,19,21,13,13,14,14,14,7,11,38,12,42,36,20,8,17,12,6,12,11,5,42,14,8,9,12,22,22,22,22,22,14,11,10,12,18,18,15,14,15,20,18,11,12,12,17,9,26,21,18,20,9,26,10,8,15,12,13,12,12,7,13,13,14,14,16,18,12,17,20,11,44,37,16,12,9,11,12,11,19,25,25,10,14,3,2,3,15,15,50,13,2,44,9,14,17,8,14,2,8,14,1,5,9,10,15,10,14,36,11,10,11,19,17,20,7,12,14,10,11,5,7,14,5,9,12,25,8,12,17,9,10,15,7,17,19,17,16,13,12,18,14,16,11,7,9,13,13,14,21,11,11,10,37,13,11,1,16,6,16,19,12,9,27,5,6,1,12,6,17,9,14,11,6,8,3,12,12,38,41,53,16,
3,3,1,2,7,10,14,16,12,10,13,10,16,10,3,4,6,7,13,16,20,16,16,15,20,37,8,13,15,10,32,2,12,11,5,24,15,5,5,25,14,19,12,9,12,13,21,13,11,47,5,19,18,26,12,6,13,10,12,3,6,7,6,17,14,18,14,15,12,4,10,12,16,11,11,4,11,15,21,18,13,32,7,6,13,18,18,17,11,7,21,10,51,7,11,11,11,13,12,11,11,11,22,11,3,29,16,18,9,9,11,10,10,8,7,41,13,39,33,18,8,13,12,3,13,13,2,39,15,11,12,13,24,24,24,24,23,15,12,11,9,19,19,15,10,17,19,19,8,8,9,18,10,27,20,18,21,10,27,6,5,16,13,14,13,13,8,14,14,15,15,20,21,13,19,20,11,41,34,17,13,9,9,16,12,18,24,23,11,16,4,4,3,17,17,47,14,4,41,11,16,18,8,10,1,11,15,2,6,10,11,18,10,15,33,7,9,13,20,19,23,8,12,15,11,15,5,4,15,8,5,8,26,9,13,17,10,11,16,8,18,18,20,18,14,9,18,14,17,7,3,10,14,14,15,23,13,12,12,33,13,11,4,12,6,17,18,12,6,28,6,3,2,13,9,20,10,16,8,6,9,5,13,13,34,38,50,18,
5,5,2,1,4,13,16,19,14,12,14,11,18,12,6,4,8,9,16,18,22,14,14,17,23,35,6,11,13,8,30,5,15,13,8,26,17,3,5,24,16,17,14,11,14,15,19,15,13,45,5,17,16,28,14,4,14,13,10,1,8,10,8,20,17,20,16,17,14,6,12,14,19,13,14,7,13,17,19,16,16,31,10,5,11,16,16,15,13,9,23,13,49,10,9,9,9,11,14,14,14,14,25,13,5,31,14,16,7,7,9,8,8,11,5,43,15,37,31,16,10,11,14,1,15,14,4,37,14,13,14,15,26,26,26,26,26,17,15,13,7,22,21,17,9,19,17,21,6,7,7,21,12,29,18,20,24,12,30,4,2,18,15,16,15,15,11,16,16,17,16,22,23,15,21,18,11,39,32,20,16,7,7,18,14,16,22,21,13,18,7,6,6,19,19,45,16,7,39,13,18,18,6,8,4,14,18,5,9,12,13,21,7,18,31,5,9,15,18,21,25,10,14,17,14,17,8,1,17,11,3,6,29,11,15,19,11,12,19,10,20,16,23,16,17,8,16,16,19,6,1,12,16,16,18,25,15,14,10,31,11,13,7,10,8,18,16,10,4,30,9,1,4,15,12,22,13,18,6,8,12,7,15,11,33,36,48,16,
5,7,7,4,1,13,15,18,18,16,19,16,22,15,10,9,12,12,19,21,25,18,18,20,26,33,10,9,12,4,28,9,19,18,8,30,17,8,10,22,19,20,17,14,18,19,17,18,16,43,10,18,20,32,19,9,19,14,9,6,9,14,13,23,20,24,20,21,18,11,14,18,22,17,17,10,18,22,23,20,19,29,13,10,15,20,20,20,18,13,22,16,47,14,5,5,5,7,18,17,17,17,24,15,8,35,12,14,11,11,13,12,12,14,10,42,19,35,29,20,14,14,19,5,19,18,9,35,18,13,14,19,29,29,29,29,29,21,18,17,12,25,25,22,14,22,19,25,11,12,12,24,16,33,22,24,27,16,33,9,7,22,19,20,19,19,14,20,20,21,21,21,23,19,24,17,15,37,30,23,19,2,4,18,18,20,23,25,17,21,6,6,7,22,22,43,20,6,37,16,21,22,1,12,7,13,21,8,12,16,17,20,3,21,29,10,14,18,16,24,24,14,19,21,17,17,12,6,21,11,8,11,32,15,19,23,16,17,22,14,24,18,22,19,20,12,20,21,23,11,6,16,20,20,21,28,18,18,14,30,6,18,7,13,12,23,20,5,8,34,12,5,7,19,13,22,16,21,4,12,15,3,19,15,31,34,46,20,
7,7,10,13,13,1,4,7,19,17,20,17,22,16,11,15,12,13,20,22,26,22,25,21,27,46,19,22,25,18,41,13,19,18,8,30,4,16,15,35,20,25,18,15,19,20,30,19,17,56,15,25,27,32,19,16,20,15,22,14,4,15,13,24,21,24,21,21,19,11,15,18,22,18,18,10,18,22,27,24,20,42,14,17,19,24,24,23,18,13,11,17,60,15,19,19,19,21,18,18,18,18,13,15,9,35,25,27,20,20,21,21,21,14,18,31,19,48,42,27,15,24,19,14,19,19,12,48,21,1,1,19,30,30,30,30,30,21,19,17,19,26,25,22,21,23,28,25,18,19,19,24,16,33,29,25,28,16,34,17,15,22,20,20,20,20,15,20,20,22,22,10,11,19,25,27,18,50,43,23,20,15,17,5,19,27,33,32,17,22,9,8,10,23,23,56,20,9,50,17,22,24,14,21,9,1,22,8,12,16,18,7,16,21,42,18,17,19,26,25,13,14,19,21,18,4,13,14,21,2,16,19,33,15,19,24,16,17,22,14,24,27,10,24,21,19,26,21,23,18,14,16,20,20,21,29,19,18,18,43,19,18,6,23,13,24,27,18,17,34,13,14,8,20,14,10,17,22,17,13,16,9,19,19,44,47,59,24,
10,10,14,16,15,4,1,2,22,20,23,21,26,19,14,18,15,16,23,25,29,25,29,24,30,49,22,25,27,20,44,16,23,21,8,33,8,19,19,38,23,28,21,18,22,23,33,22,20,59,19,29,30,36,23,19,23,18,25,17,8,18,17,27,24,27,24,24,22,15,18,21,26,21,21,14,21,25,30,28,23,45,17,20,22,27,27,27,21,16,7,20,63,18,21,21,21,23,22,21,21,21,8,19,13,39,28,30,23,23,25,24,24,18,21,27,22,51,45,31,18,27,23,17,23,22,16,51,25,4,5,23,33,33,33,33,33,25,22,21,23,29,29,25,24,26,31,29,21,22,22,28,20,37,32,28,31,20,37,20,19,25,23,24,23,23,18,24,24,25,25,6,7,23,28,31,22,53,46,27,23,18,19,9,22,30,36,36,21,25,12,11,13,26,26,59,24,12,53,20,25,28,17,24,12,5,25,12,16,20,21,12,18,25,45,21,20,22,30,28,9,18,22,24,21,1,16,18,24,6,19,22,36,19,22,27,20,21,26,18,28,30,6,27,24,23,29,24,27,21,17,20,24,24,25,32,22,22,21,45,22,22,10,26,16,27,30,21,20,38,16,17,12,23,17,6,20,25,20,16,19,13,23,22,47,50,62,27,
13,13,16,19,18,7,2,1,25,23,26,23,28,22,17,21,18,19,26,28,32,28,32,27,33,52,25,28,30,23,47,19,25,24,11,36,11,22,22,40,26,31,24,21,25,26,36,25,23,62,22,31,33,38,25,22,26,21,28,20,11,21,20,30,27,30,27,27,25,18,21,24,29,24,24,17,24,28,33,30,26,47,20,23,25,30,30,30,24,19,9,23,65,21,24,24,24,26,24,24,24,24,6,22,15,41,31,33,26,26,28,27,27,21,24,24,25,54,48,34,21,30,26,20,26,25,18,54,27,7,8,25,36,36,36,36,36,27,25,23,25,32,31,28,27,29,34,31,24,25,25,30,22,39,35,31,34,22,40,23,21,28,26,26,26,26,21,26,26,28,28,5,4,25,31,33,24,56,49,30,26,21,22,12,25,33,39,39,23,28,15,14,16,29,29,61,26,15,55,23,28,30,20,27,15,7,28,14,19,22,24,12,21,28,48,24,23,25,32,31,6,20,25,27,24,3,19,20,27,9,22,25,39,21,25,30,23,23,28,20,30,33,3,30,27,26,32,27,29,24,20,22,26,26,28,35,25,24,24,48,25,25,13,29,19,30,33,24,23,40,19,20,15,26,20,3,23,28,23,19,22,15,25,25,49,52,65,30,
13,12,12,14,18,19,22,25,1,3,2,5,8,8,9,10,12,9,16,21,22,18,22,20,26,45,15,22,25,21,43,12,1,2,15,29,23,17,11,35,16,21,17,4,4,2,30,17,6,56,11,21,23,32,4,12,1,10,18,15,15,7,10,10,14,11,3,17,1,9,10,1,10,3,7,11,3,3,23,20,16,42,13,12,15,20,20,20,3,13,29,16,60,9,22,22,22,24,14,14,14,14,31,11,14,35,25,27,16,16,17,17,17,10,20,49,2,50,44,24,11,20,3,15,1,1,14,50,17,19,20,19,26,26,26,26,26,6,18,7,12,10,10,3,13,11,24,15,14,14,13,14,9,33,25,6,27,8,33,14,17,18,5,5,5,1,14,2,5,4,4,28,29,19,24,23,7,52,45,19,16,21,22,24,6,23,29,29,17,23,14,14,15,22,22,58,7,14,52,5,21,20,20,17,14,20,23,11,13,16,5,27,21,17,44,19,7,16,22,24,31,14,1,17,15,23,9,16,4,17,13,16,32,7,1,5,6,7,12,9,14,23,29,20,9,11,24,2,8,10,15,6,16,5,9,25,6,18,14,45,23,2,13,19,9,5,23,24,18,34,12,15,13,3,9,29,13,18,20,7,15,15,20,15,46,49,59,20,
11,10,10,12,16,17,20,23,3,1,3,2,10,6,7,7,9,6,15,19,21,15,18,18,24,41,12,19,21,18,40,9,3,1,13,27,21,15,8,31,15,18,15,2,5,3,27,13,5,53,8,18,20,29,2,9,2,12,15,13,13,9,7,11,15,12,4,16,2,6,12,2,12,1,7,8,1,5,20,17,12,39,11,9,12,17,17,17,1,10,27,14,57,6,19,19,19,21,11,10,10,10,29,12,12,32,22,24,13,12,14,14,14,7,17,47,3,47,41,20,11,16,2,13,3,2,12,47,14,17,18,17,25,25,25,25,25,7,16,5,9,12,11,5,10,12,20,16,11,11,10,15,6,30,22,8,25,8,30,11,14,17,6,6,6,3,12,4,6,5,5,26,27,17,22,20,4,49,42,16,12,19,19,22,5,20,26,25,14,20,13,12,13,20,20,55,8,12,49,3,19,17,18,14,11,18,19,9,10,13,4,25,19,14,41,17,4,14,19,22,29,12,2,16,12,21,7,13,5,15,10,13,29,7,3,7,3,3,13,6,15,19,27,17,10,8,20,4,9,7,13,4,15,6,11,24,7,16,11,41,20,1,11,15,9,7,20,22,16,31,10,12,11,3,11,26,9,15,18,5,13,13,17,12,43,46,56,17,
