省会城市	北京市	天津市	河北省石家庄市	山西省太原市	内蒙古呼和浩特市	辽宁省沈阳市	吉林省长春市	黑龙江省哈尔滨市	上海市	江苏省南京市	浙江省杭州市	安徽省合肥市	福建省福州市	江西省南昌市	山东省济南市	河南省郑州市	湖南省长沙市	湖北省武汉市	广东省广州市	广西南宁市	海南省海口市	重庆市	四川省成都市	贵州省贵阳市	云南省昆明市	西藏拉萨市	陕西省西安市	甘肃省兰州市	青海省西宁市	宁夏银川市	新疆乌鲁木齐市
北京市																															
天津市	140																														
河北省石家庄市	300	320																													
山西省太原市	510	530	220																												
内蒙古呼和浩特市	490	670	630	440																											
辽宁省沈阳市	700	680	970	1190	1180																										
吉林省长春市	980	980	1260	1480	1420	380																									
黑龙江省哈尔滨市	1240	1230	1530	1740	1670	650	260																								
上海市	1210	1100	1120	1310	1690	1740	2030	2300																							
江苏省南京市	1060	900	920	1080	1540	1550	1840	2110	300																						
浙江省杭州市	1300	1150	1180	1340	1750	1800	2090	2360	180	280																					
安徽省合肥市	1040	940	920	1010	1530	1600	1890	2160	480	180	430																				
福建省福州市	1900	1760	1790	1850	2290	2420	2710	2980	780	900	620	995																			
江西省南昌市	1430	1400	1230	1290	1730	2010	2300	2570	740	590	580	440	570																		
山东省济南市	440	340	330	570	930	995	1290	1560	830	640	890	650	1500	1060																	
河南省郑州市	700	720	420	430	870	1360	1660	1930	960	680	940	590	1430	870	450																
湖南省长沙市	1470	1450	1210	1220	1660	2110	2400	2670	1100	890	920	730	910	340	1180	810															
湖北省武汉市	1200	1150	890	940	1340	1800	2090	2360	840	550	750	380	920	360	860	520	350														
广东省广州市	2120	2100	1850	1870	2310	2760	3050	3320	1450	1360	1280	1210	870	830	1830	1450	670	995													
广西南宁市	2340	2320	2070	2080	2520	2970	3270	3530	1900	1750	1720	1590	1420	1200	2050	1670	880	1210	560												
海南省海口市	2700	2680	2420	2450	2890	3340	3630	3900	2020	1940	1850	1780	1470	1360	2410	2030	1250	1570	580	480											
重庆市	1750	1780	1470	1280	1670	2430	2720	2990	1700	1400	1620	1280	1780	1210	1580	1150	890	880	1360	940	1410										
四川省成都市	1800	1830	1520	1340	1700	2480	2770	3040	1980	1680	1940	1530	2060	1500	1630	1210	1200	1190	1660	1220	1720	320									
贵州省贵阳市	2130	2140	1840	1660	2050	2790	3080	3350	1860	1650	1680	1500	1600	1150	1860	1490	840	1120	1110	580	1040	380	680								
云南省昆明市	2670	2650	2400	2180	2570	3310	3600	3870	2380	2170	2190	2010	2110	1670	2380	2000	1390	1640	1370	820	1240	900	920	530							
西藏拉萨市	3650	3670	3370	3210	3270	4320	4620	4880	4230	3950	4160	3760	4490	3930	3750	3320	3830	3580	3600	3040	3460	2400	2090	2730	2230						
陕西省西安市	1080	1100	790	600	970	1750	2040	2310	1390	1090	1330	920	1650	1090	910	480	990	740	1650	1640	2100	700	750	1070	1590	2840					
甘肃省兰州市	1500	1520	1210	1050	1120	2160	2460	2720	2030	1750	1970	1560	2290	1730	1550	1120	1640	1380	2290	1920	2390	980	880	1360	1790	2180	650				
青海省西宁市	1700	1720	1410	1250	1320	2370	2670	2930	2270	1990	2210	1800	2530	1970	1790	1360	1870	1620	2530	2130	2600	1200	1080	1570	2000	1970	890	230			
宁夏银川市	1150	1200	910	740	670	1860	2060	2330	1960	1680	1950	1610	2370	1810	1240	1040	1710	1460	2360	2370	2840	1440	1450	1810	2330	2600	740	440	640		
新疆乌鲁木齐市	3170	3200	2900	2730	2800	3850	4140	4410	3920	3640	3860	3450	4180	3620	3230	3010	3520	3270	4170	3940	4410	3000	2890	3380	3810	2750	2540	1910	1740	2120	
																															
备注：上表给出了省会城市之间公路里程，采用高速优先策略，单位：公里。																															
																															
																															
